Verse,Text,Stage
Gen 49:2,הִקָּבְצוּ וְשִׁמְעוּ בְּנֵי יַעֲקֹב וְשִׁמְעוּ אֶל־יִשְׂרָאֵל אֲבִיכֶם,ABH
Gen 49:3,רְאוּבֵן בְּכֹרִי אַתָּה כֹּחִי וְרֵאשִׁית אוֺנִי יֶתֶר שְׂאֵת וְיֶתֶר עָז,ABH
Gen 49:4,פַּחַז כַּמַּיִם אַל־תּוֺתַר כִּי עָלִיתָ מִשְׁכְּבֵי אָבִיךָ אָז חִלַּלְתָּ יְצוּעִי עָלָה,ABH
Gen 49:5,שִׁמְעוֺן וְלֵוִי אַחִים כְּלֵי חָמָס מְכֵרֹתֵיהֶם,ABH
Gen 49:6,בְּסֹדָם אַל־תָּבֹא נַפְשִׁי בִּקְהָלָם אַל־תֵּחַד כְּבֹדִי כִּי בְאַפָּם הָרְגוּ אִישׁ וּבִרְצֹנָם עִקְּרוּ־שׁוֺר,ABH
Gen 49:7,אָרוּר אַפָּם כִּי עָז וְעֶבְרָתָם כִּי קָשָׁתָה אֲחַלְּקֵם בְּיַעֲקֹב וַאֲפִיצֵם בְּיִשְׂרָאֵל,ABH
Gen 49:8,יְהוּדָה אַתָּה יוֺדוּךָ אַחֶיךָ יָדְךָ בְּעֹרֶף אֹיְבֶיךָ יִשְׁתַּחֲוּוּ לְךָ בְּנֵי אָבִיךָ,ABH
Gen 49:9,גּוּר אַרְיֵה יְהוּדָה מִטֶּרֶף בְּנִי עָלִיתָ כָּרַע רָבַץ כְּאַרְיֵה וּכְלָבִיא מִי יְקִימֶנּוּ,ABH
Gen 49:10,לֹא־יָסוּר שֵׁבֶט מִיהוּדָה וּמְחֹקֵק מִבֵּין רַגְלָיו עַד כִּי־יָבֹא ִילוֺ וְלוֺ יִקְּהַת עַמִּים,ABH
Gen 49:11,אֹסְרִי לַגֶּפֶן עִירוֺ וְלַשֹּׂרֵקָה בְּנִי אֲתֹנוֺ כִּבֵּס בַּיַּיִן לְבֻשׁוֺ וּבְדַם־עֲנָבִים סוּתוֺ,ABH
Gen 49:12,חַכְלִילִי עֵינַיִם מִיָּיִן וּלְבֶן־שִׁנַּיִם מֵחָלָב,ABH
